ReviewID,ProductID,CustomerID,Category,Channel,Platform,Rating,Sentiment,ReviewDate,HelpfulVotes,VerifiedPurchase
REV-00001,PROD-SET-001,2007,Set,Myntra,Desktop Web,1,Negative,2023-07-18,94,True
REV-00002,PROD-LEHENGA-001,261,Lehenga Choli,Amazon,Mobile App,3,Neutral,2024-05-14,27,True
REV-00003,PROD-DUPATTA-001,4465,Dupatta,Ajio,Desktop Web,5,Positive,2023-02-12,57,False
REV-00004,PROD-TOP-001,1308,Top,Ajio,Mobile Web,5,Positive,2022-01-14,35,True
REV-00005,PROD-DRESS-001,838,Western Dress,Amazon,Tablet App,5,Positive,2023-11-21,12,True
REV-00006,PROD-SAREE-002,3764,Saree,Nalli,Mobile App,5,Positive,2022-03-30,118,True
REV-00007,PROD-KURTA-003,4730,kurta,Myntra,Mobile App,5,Positive,2024-01-11,5,True
REV-00008,PROD-TOP-002,828,Top,Ajio,Mobile Web,5,Positive,2023-04-22,58,True
REV-00009,PROD-SET-003,2188,Set,Amazon,Desktop Web,4,Positive,2023-03-06,68,True
REV-00010,PROD-SET-003,4563,Set,Myntra,Mobile Web,4,Positive,2023-07-07,107,True
REV-00011,PROD-DRESS-002,3287,Western Dress,Flipkart,Mobile App,5,Positive,2023-10-09,27,False
REV-00012,PROD-SAREE-001,3242,Saree,Ajio,Desktop Web,4,Positive,2024-10-19,33,True
REV-00013,PROD-DRESS-002,4789,Western Dress,Ajio,Tablet App,5,Positive,2023-06-23,46,True
REV-00014,PROD-SET-002,386,Set,Amazon,Desktop Web,4,Positive,2022-07-06,80,True
REV-00015,PROD-ETHNIC-001,3127,Ethnic Dress,Nalli,Tablet App,5,Positive,2024-02-28,67,True
REV-00016,PROD-LEHENGA-001,939,Lehenga Choli,Nalli,Mobile Web,5,Positive,2022-01-24,98,True
REV-00017,PROD-SET-001,3717,Set,Amazon,Mobile Web,4,Positive,2022-11-20,64,True
REV-00018,PROD-DUPATTA-001,4159,Dupatta,Nalli,Desktop Web,5,Positive,2023-09-04,19,True
REV-00019,PROD-SET-003,5,Set,Nalli,Mobile Web,4,Positive,2024-12-22,62,True
REV-00020,PROD-SET-001,1962,Set,Amazon,Desktop Web,5,Positive,2023-09-22,112,False
REV-00021,PROD-KURTA-003,567,kurta,Nalli,Desktop Web,3,Neutral,2024-09-22,16,True
REV-00022,PROD-LEHENGA-001,4970,Lehenga Choli,Ajio,Desktop Web,3,Neutral,2024-12-16,118,False
REV-00023,PROD-DRESS-001,3060,Western Dress,Ajio,Tablet App,5,Positive,2024-03-28,15,True
REV-00024,PROD-DRESS-002,4820,Western Dress,Nalli,Desktop Web,2,Negative,2022-02-13,75,True
REV-00025,PROD-KURTA-001,1876,kurta,Amazon,Mobile App,2,Negative,2022-05-01,110,True
REV-00026,PROD-KURTA-003,3977,kurta,Myntra,Desktop Web,4,Positive,2023-07-25,92,False
REV-00027,PROD-JACKET-001,3335,Jacket,Myntra,Mobile App,4,Positive,2024-08-26,12,True
REV-00028,PROD-SAREE-002,444,Saree,Amazon,Mobile App,4,Positive,2024-08-14,51,True
REV-00029,PROD-SET-001,4394,Set,Ajio,Desktop Web,4,Positive,2023-01-25,54,True
REV-00030,PROD-TOP-001,3631,Top,Nalli,Mobile App,4,Positive,2022-06-04,6,False
